record	entry	name	from	to	type	symbol	value
program					sha256		8aa2f918844bce3afe21f1204f69757a443e32eb2f2f616936b1d9bfe215f593
program					image_base		00400000
pointer_hit	005a4024	PTR_FUN_005a4024	0040e0a3	005a4024	pointer	FUN_0040df9e	.text
pointer_hit	005a4024	PTR_FUN_005a4024	0040e309	005a4024	pointer	FUN_0040e2e6	.text
pointer_search	005a4024	PTR_FUN_005a4024		005a4024	pointer_scan		hits=2
address	005a40b4				data		0040e817
slot_outgoing	005a40b4		005a40b4	0040e817	DATA	FUN_0040e817	
table_slot	005a4024	PTR_FUN_005a4024	005a4024	004218e0	pointer	FUN_004218e0	index=0;offset=0x0;raw=0x004218E0;data=004218e0
table_slot_incoming	005a4024	PTR_FUN_005a4024	0040e0a1	005a4024	DATA	FUN_0040df9e	index=0;offset=0x0;raw=0x004218E0;data=004218e0;owner_entry=0040df9e
table_slot_incoming	005a4024	PTR_FUN_005a4024	0040e307	005a4024	DATA	FUN_0040e2e6	index=0;offset=0x0;raw=0x004218E0;data=004218e0;owner_entry=0040e2e6
table_slot_outgoing	005a4024	PTR_FUN_005a4024	005a4024	004218e0	DATA	FUN_004218e0	index=0;offset=0x0;raw=0x004218E0;data=004218e0
table_slot	005a4024	PTR_FUN_005a4024	005a4028	0040bfa0	pointer	FUN_0040bfa0	index=1;offset=0x4;raw=0x0040BFA0;data=0040bfa0
table_slot_outgoing	005a4024	PTR_FUN_005a4024	005a4028	0040bfa0	DATA	FUN_0040bfa0	index=1;offset=0x4;raw=0x0040BFA0;data=0040bfa0
table_slot	005a4024	PTR_FUN_005a4024	005a402c	004209fc	pointer	FUN_004209fc	index=2;offset=0x8;raw=0x004209FC;data=004209fc
table_slot_outgoing	005a4024	PTR_FUN_005a4024	005a402c	004209fc	DATA	FUN_004209fc	index=2;offset=0x8;raw=0x004209FC;data=004209fc
table_slot	005a4024	PTR_FUN_005a4024	005a4030	004107c1	pointer	FUN_004107c1	index=3;offset=0xC;raw=0x004107C1;data=004107c1
table_slot_outgoing	005a4024	PTR_FUN_005a4024	005a4030	004107c1	DATA	FUN_004107c1	index=3;offset=0xC;raw=0x004107C1;data=004107c1
table_slot	005a4024	PTR_FUN_005a4024	005a4034	0040bfb0	pointer	FUN_0040bfb0	index=4;offset=0x10;raw=0x0040BFB0;data=0040bfb0
table_slot_outgoing	005a4024	PTR_FUN_005a4024	005a4034	0040bfb0	DATA	FUN_0040bfb0	index=4;offset=0x10;raw=0x0040BFB0;data=0040bfb0
table_slot	005a4024	PTR_FUN_005a4024	005a4038	0040bfa0	pointer	FUN_0040bfa0	index=5;offset=0x14;raw=0x0040BFA0;data=0040bfa0
table_slot_outgoing	005a4024	PTR_FUN_005a4024	005a4038	0040bfa0	DATA	FUN_0040bfa0	index=5;offset=0x14;raw=0x0040BFA0;data=0040bfa0
table_slot	005a4024	PTR_FUN_005a4024	005a403c	0054ab75	pointer	FUN_0054ab75	index=6;offset=0x18;raw=0x0054AB75;data=0054ab75
table_slot_outgoing	005a4024	PTR_FUN_005a4024	005a403c	0054ab75	DATA	FUN_0054ab75	index=6;offset=0x18;raw=0x0054AB75;data=0054ab75
table_slot	005a4024	PTR_FUN_005a4024	005a4040	0054ab84	pointer	FUN_0054ab84	index=7;offset=0x1C;raw=0x0054AB84;data=0054ab84
table_slot_outgoing	005a4024	PTR_FUN_005a4024	005a4040	0054ab84	DATA	FUN_0054ab84	index=7;offset=0x1C;raw=0x0054AB84;data=0054ab84
table_slot	005a4024	PTR_FUN_005a4024	005a4044	0054ab93	pointer	FUN_0054ab93	index=8;offset=0x20;raw=0x0054AB93;data=0054ab93
table_slot_outgoing	005a4024	PTR_FUN_005a4024	005a4044	0054ab93	DATA	FUN_0054ab93	index=8;offset=0x20;raw=0x0054AB93;data=0054ab93
table_slot	005a4024	PTR_FUN_005a4024	005a4048	0054aba5	pointer	FUN_0054aba5	index=9;offset=0x24;raw=0x0054ABA5;data=0054aba5
table_slot_outgoing	005a4024	PTR_FUN_005a4024	005a4048	0054aba5	DATA	FUN_0054aba5	index=9;offset=0x24;raw=0x0054ABA5;data=0054aba5
table_slot	005a4024	PTR_FUN_005a4024	005a404c	0054abb5	pointer	FUN_0054abb5	index=10;offset=0x28;raw=0x0054ABB5;data=0054abb5
table_slot_outgoing	005a4024	PTR_FUN_005a4024	005a404c	0054abb5	DATA	FUN_0054abb5	index=10;offset=0x28;raw=0x0054ABB5;data=0054abb5
table_slot	005a4024	PTR_FUN_005a4024	005a4050	0054abc0	pointer	FUN_0054abc0	index=11;offset=0x2C;raw=0x0054ABC0;data=0054abc0
table_slot_outgoing	005a4024	PTR_FUN_005a4024	005a4050	0054abc0	DATA	FUN_0054abc0	index=11;offset=0x2C;raw=0x0054ABC0;data=0054abc0
table_slot	005a4024	PTR_FUN_005a4024	005a4054	0054abd6	pointer	FUN_0054abd6	index=12;offset=0x30;raw=0x0054ABD6;data=0054abd6
table_slot_outgoing	005a4024	PTR_FUN_005a4024	005a4054	0054abd6	DATA	FUN_0054abd6	index=12;offset=0x30;raw=0x0054ABD6;data=0054abd6
