record	entry	name	from	to	type	symbol	value
program					sha256		8aa2f918844bce3afe21f1204f69757a443e32eb2f2f616936b1d9bfe215f593
program					image_base		00400000
function	0047e9b6	FUN_0047e9b6			unknown		undefined FUN_0047e9b6(void)
incoming	0047e9b6	FUN_0047e9b6	0047dec9	0047e9b6	UNCONDITIONAL_CALL	FUN_004776c3	
caller	0047e9b6	FUN_0047e9b6	004776c3	0047e9b6	call	FUN_004776c3	
callee	0047e9b6	FUN_0047e9b6	0047e9b6	EXTERNAL:00000059	call	GetSystemDirectoryA	
callee	0047e9b6	FUN_0047e9b6	0047e9b6	EXTERNAL:00000081	call	GetClassNameA	
callee	0047e9b6	FUN_0047e9b6	0047e9b6	EXTERNAL:00000082	call	GetWindowTextA	
callee	0047e9b6	FUN_0047e9b6	0047e9b6	EXTERNAL:00000083	call	GetWindow	
callee	0047e9b6	FUN_0047e9b6	0047e9b6	EXTERNAL:00000084	call	GetDesktopWindow	
callee	0047e9b6	FUN_0047e9b6	0047e9b6	00403df2	call	FUN_00403df2	
callee	0047e9b6	FUN_0047e9b6	0047e9b6	00431159	call	FUN_00431159	
callee	0047e9b6	FUN_0047e9b6	0047e9b6	0055f2dd	call	FUN_0055f2dd	
callee	0047e9b6	FUN_0047e9b6	0047e9b6	0058ef10	call	_strlen	
callee	0047e9b6	FUN_0047e9b6	0047e9b6	0058f020	call	_memset	
callee	0047e9b6	FUN_0047e9b6	0047e9b6	0058f078	call	FUN_0058f078	
callee	0047e9b6	FUN_0047e9b6	0047e9b6	0058fe9e	call	_malloc	
callee	0047e9b6	FUN_0047e9b6	0047e9b6	0058ffd8	call	FUN_0058ffd8	
callee	0047e9b6	FUN_0047e9b6	0047e9b6	005902c0	call	_strstr	
callee	0047e9b6	FUN_0047e9b6	0047e9b6	005906a7	call	FUN_005906a7	
callee	0047e9b6	FUN_0047e9b6	0047e9b6	0059dca2	call	GetTcpTable	
callee	0047e9b6	FUN_0047e9b6	0047e9b6	0059e5fe	call	FUN_0059e5fe	
reference	0047e9b6	FUN_0047e9b6	0047e9c5	0092e654	READ	DAT_0092e654	0x0
reference	0047e9b6	FUN_0047e9b6	0047e9cc	0092e654	READ	DAT_0092e654	0x0
reference	0047e9b6	FUN_0047e9b6	0047e9db	0092e65c	READ	DAT_0092e65c	0x0
reference	0047e9b6	FUN_0047e9b6	0047e9f8	013b71e8	READ	DAT_013b71e8	0x0
reference	0047e9b6	FUN_0047e9b6	0047ebc0	005a3200	READ	PTR_GetSystemDirectoryA_005a3200	001afdc6
reference	0047e9b6	FUN_0047e9b6	0047ec94	005a3200	READ	PTR_GetSystemDirectoryA_005a3200	001afdc6
reference	0047e9b6	FUN_0047e9b6	0047ed32	005a32d0	READ	PTR_GetDesktopWindow_005a32d0	001b01fa
reference	0047e9b6	FUN_0047e9b6	0047ed39	005a32cc	READ	PTR_GetWindow_005a32cc	001b01ee
reference	0047e9b6	FUN_0047e9b6	0047ed50	005a32cc	READ	PTR_GetWindow_005a32cc	001b01ee
reference	0047e9b6	FUN_0047e9b6	0047ed7c	005a32c8	READ	PTR_GetWindowTextA_005a32c8	001b01dc
reference	0047e9b6	FUN_0047e9b6	0047ee00	005a32c4	READ	PTR_GetClassNameA_005a32c4	001b01cc
reference	0047e9b6	FUN_0047e9b6	0047ee90	013b71e8	READ	DAT_013b71e8	0x0
reference	0047e9b6	FUN_0047e9b6	0047eec3	00a35778	DATA	DAT_00a35778	
reference	0047e9b6	FUN_0047e9b6	0047eefd	005b872c	DATA	s_[CharacterLogout]_-_Auto_005b872c	[CharacterLogout] - Auto 
function	004a2aef	FUN_004a2aef			unknown		undefined FUN_004a2aef(void)
incoming	004a2aef	FUN_004a2aef	005a44d4	004a2aef	DATA		
callee	004a2aef	FUN_004a2aef	004a2aef	00403df2	call	FUN_00403df2	
callee	004a2aef	FUN_004a2aef	004a2aef	00423b00	call	FUN_00423b00	
callee	004a2aef	FUN_004a2aef	004a2aef	0042550e	call	FUN_0042550e	
callee	004a2aef	FUN_004a2aef	004a2aef	0049a73a	call	FUN_0049a73a	
callee	004a2aef	FUN_004a2aef	004a2aef	0058f020	call	_memset	
reference	004a2aef	FUN_004a2aef	004a2b04	0092e654	READ	DAT_0092e654	0x0
reference	004a2aef	FUN_004a2aef	004a2b0c	0092e654	READ	DAT_0092e654	0x0
reference	004a2aef	FUN_004a2aef	004a2c4d	0092e65c	READ	DAT_0092e65c	0x0
reference	004a2aef	FUN_004a2aef	004a2c7c	013b71e4	READ	DAT_013b71e4	0x0
reference	004a2aef	FUN_004a2aef	004a2c92	005b93b4	DATA	s_Critical_Data_Error_In_Client_005b93b4	Critical Data Error In Client
reference	004a2aef	FUN_004a2aef	004a2ccd	005b892c	READ	DAT_005b892c	0x2
reference	004a2aef	FUN_004a2aef	004a2d24	005a4380	READ	DAT_005a4380	
reference	004a2aef	FUN_004a2aef	004a2d2a	005a4540	READ	DAT_005a4540	
reference	004a2aef	FUN_004a2aef	004a2d3c	005a453c	READ	DAT_005a453c	
reference	004a2aef	FUN_004a2aef	004a2d42	005a4538	READ	DAT_005a4538	
